cluster,pathway,go_min_level,go_max_level,selected_gene_count,mapped_selected_gene_count,background_size,pathway_size,overlap_count,overlap_genes,gene_ratio,p_value,adjusted_p_value,significant_fdr_0_05
0,GOBP_POSITIVE_REGULATION_OF_CYTOKINE_PRODUCTION_INVOLVED_IN_IMMUNE_RESPONSE,7,11,75,74,18000,88,5,B2M;SPON2;CD74;FCER1G;TBX21,0.06756756756756757,3.076048600828232e-5,0.0033993609431280506,TRUE
0,GOBP_GRANULOCYTE_MIGRATION,5,7,75,74,18000,148,6,CD74;CCL5;FCER1G;CCL4;CCL3;PTGER4,0.08108108108108109,3.2636837092028436e-5,0.00353157774699991,TRUE
0,GOBP_REGULATION_OF_NATURAL_KILLER_CELL_ACTIVATION,7,8,75,74,18000,45,4,TYROBP;FCGR3A;KLRD1;PRDM1,0.05405405405405406,3.451209246401353e-5,0.003656033717156696,TRUE
0,GOBP_REGULATION_OF_MONONUCLEAR_CELL_MIGRATION,6,8,75,74,18000,150,6,CCL5;CCL4;DUSP1;CX3CR1;CCL3;CD69,0.08108108108108109,3.5194779718489565e-5,0.003656033717156696,TRUE
0,GOBP_POSITIVE_REGULATION_OF_CELL_ACTIVATION,6,6,75,74,18000,400,9,B2M;ACTB;CD74;CCL5;TYROBP;JUND;FCGR3A;CCL3;TBX21,0.12162162162162163,3.727357999118812e-5,0.003786760808589661,TRUE
0,GOBP_POSITIVE_REGULATION_OF_LEUKOCYTE_MIGRATION,6,8,75,74,18000,152,6,CD74;CCL5;CCL4;CX3CR1;CCL3;PIK3R1,0.08108108108108109,3.79113519535353e-5,0.003786760808589661,TRUE
0,GOBP_REGULATION_OF_LYMPHOCYTE_DIFFERENTIATION,7,9,75,74,18000,228,7,ACTB;CD74;ZFP36L2;CD69;TBX21;JUNB;PRDM1,0.0945945945945946,4.177187429785784e-5,0.003944783910964976,TRUE
0,GOBP_REGULATION_OF_MYELOID_CELL_DIFFERENTIATION,6,8,75,74,18000,228,7,B2M;CD74;TYROBP;ZFP36;CCL3;PIK3R1;FOS,0.0945945945945946,4.177187429785784e-5,0.003944783910964976,TRUE
0,GOBP_RESPONSE_TO_MECHANICAL_STIMULUS,4,4,75,74,18000,228,7,TXNIP;JUND;FOSB;BTG2;JUN;FOS;PTGER4,0.0945945945945946,4.177187429785784e-5,0.003944783910964976,TRUE
0,GOBP_POSITIVE_REGULATION_OF_LEUKOCYTE_CHEMOTAXIS,7,9,75,74,18000,97,5,CD74;CCL5;CCL4;CX3CR1;CCL3,0.06756756756756757,4.9171582744338394e-5,0.004560664299537386,TRUE
0,GOBP_CELLULAR_DEFENSE_RESPONSE,5,5,75,74,18000,52,4,GNLY;TYROBP;CX3CR1;PRF1,0.05405405405405406,6.136053752467646e-5,0.005410343667275159,TRUE
0,GOBP_LEUKOCYTE_ACTIVATION_INVOLVED_IN_INFLAMMATORY_RESPONSE,4,5,75,74,18000,52,4,TYROBP;CX3CR1;CCL3;JUN,0.05405405405405406,6.136053752467646e-5,0.005410343667275159,TRUE
0,GOBP_POSITIVE_REGULATION_OF_LYMPHOCYTE_CHEMOTAXIS,8,11,75,74,18000,19,3,CCL5;CCL4;CCL3,0.04054054054054054,6.164517173539622e-5,0.005410343667275159,TRUE
0,GOBP_RESPONSE_TO_TUMOR_NECROSIS_FACTOR,6,6,75,74,18000,243,7,TMSB4X;CCL5;KLF2;ZFP36L2;ZFP36;CCL3;FOS,0.0945945945945946,6.249915672632067e-5,0.005410343667275159,TRUE
0,GOBP_MONOCYTE_CHEMOTAXIS,5,7,75,74,18000,55,4,CCL5;DUSP1;CX3CR1;CCL3,0.05405405405405406,7.658466608338696e-5,0.006520995994051014,TRUE
0,GOBP_CD4_POSITIVE_ALPHA_BETA_T_CELL_DIFFERENTIATION,8,10,75,74,18000,108,5,CD69;TBX21;PIK3R1;JUNB;PTGER4,0.06756756756756757,8.212105414585183e-5,0.006770424686246896,TRUE
0,GOBP_NATURAL_KILLER_CELL_ACTIVATION,5,6,75,74,18000,108,5,NKG7;TYROBP;FCGR3A;KLRD1;PRDM1,0.06756756756756757,8.212105414585183e-5,0.006770424686246896,TRUE
