leiden_0_4,marker_direction,marker_rank,gene,scores,logfoldchanges,pvals_adj,pct_nz_group,pct_nz_reference
13,down,39,MYOM2,-20.122107,-7.3244123,4.7493776924694194e-89,0.0020652622883106,0.1475235659661737
13,down,40,LINC00861,-20.108267,-2.3675761,6.246956058350826e-89,0.0751755472945064,0.2454628565780858
13,down,41,PRDM1,-19.93962,-2.277018,1.7996676893144085e-87,0.1024370095002065,0.2687137862446413
13,down,42,S100A8,-19.729677,-4.867932,1.1643955364526508e-85,0.0086741016109045,0.1532220204341326
13,down,43,P2RY8_ENSG00000182162,-19.513288,-4.747291,8.139994581734206e-84,0.0086741016109045,0.1504978812250596
13,down,44,KLRG1,-19.503262,-3.4573085,9.856560549686213e-84,0.0256092523750516,0.1750213112931322
13,down,45,S100A6,-19.502058,-0.81217194,1.0042951983054373e-83,0.6381660470879802,0.661613728179089
13,down,46,RAP1GAP2,-19.43498,-8.738488,3.650110699051143e-83,0.0004130524576621,0.1366393635027117
13,down,47,ZBTB16,-19.391247,-2.237513,8.511039987861713e-83,0.0892193308550185,0.2503243022867944
13,down,48,IGKC,-18.98667,-4.077379,1.9541203226597702e-79,0.0198265179677819,0.1599705965926639
13,down,49,LYZ,-18.962309,-3.6366994,3.0789927473865705e-79,0.0223048327137546,0.16354101034061
13,down,50,F2R,-18.929031,-3.1761222,5.743325243257927e-79,0.0272614622057001,0.1714416317655634
14,up,1,SELL,132.63928,4.9884734,0.0,0.8994869846095382,0.2191256660330913
14,up,2,SPTSSB,131.5678,4.3265967,0.0,0.4563936918107543,0.0475025706540367
14,up,3,IL7R,117.04853,4.16374,0.0,0.552916587497625,0.0867260773377372
14,up,4,GZMK,109.013596,4.076606,0.0,0.7501425042751283,0.1838749883152089
14,up,5,IGFBP4,99.45567,3.7838995,0.0,0.2869086072582177,0.0315084286292961
14,up,6,XCL1,97.24788,3.7008736,0.0,0.777503325099753,0.2132084878322375
14,up,7,TCF7,89.960754,3.225814,0.0,0.4970549116473494,0.1073629763499828
14,up,8,XCL2,83.862274,3.30504,0.0,0.8255747672430173,0.3079612376530707
14,up,9,FXYD7,80.747925,3.6913607,0.0,0.1732851985559566,0.0172467516280808
14,up,10,IFITM3,75.85085,2.937928,0.0,0.775983279498385,0.3306858193375502
14,up,11,ZMAT4,75.6835,3.5192952,0.0,0.149914497434923,0.014563923597046
14,up,12,IL18R1,74.96157,2.8086188,0.0,0.3758312749382481,0.0820895522388059
14,up,13,GPR183,71.32054,2.7619271,0.0,0.3589207676230287,0.0814071604399713
14,up,14,INPP4B,68.21588,2.9776666,0.0,0.185635569067072,0.026158352288661
14,up,15,RPS19,67.60054,2.0828145,0.0,0.9967699030970928,0.816386751004892
14,up,16,MT-ND1,65.78027,2.677382,0.0,0.961618848565457,0.6003863770915776
14,up,17,KIR2DL4,65.70385,2.702703,0.0,0.3634809044271328,0.095949272427009
14,up,18,IFITM1,65.34935,2.7787101,0.0,0.9133574007220217,0.5953042719596173
14,up,19,KLRC1,64.77954,2.584836,0.0,0.7556526695800874,0.3333374879257159
14,up,20,MT-CO3,64.68643,2.7911842,0.0,0.9933498004940148,0.7000062318885738
14,up,21,MT-ND4L,64.64482,2.9052722,0.0,0.8574957248717462,0.4850403514785155
14,up,22,GNLY,63.96837,2.1625333,0.0,0.9747292418772564,0.8327984295640793
14,up,23,MT-CO2,63.64643,2.8908262,0.0,0.998289948698461,0.7064562365624902
14,up,24,MT-ND5,63.19529,2.570147,0.0,0.9467984039521186,0.5835914373850996
14,up,25,CAPG,63.050076,2.3554149,0.0,0.5133954018620559,0.1701367899541956
14,up,26,CD2,62.73304,2.3822997,0.0,0.7197415922477675,0.3449412644501916
14,up,27,MT-CYB,61.66941,2.6926434,0.0,0.9863195895876876,0.6689901224566105
14,up,28,CD44,61.398865,2.248448,0.0,0.8113243397301919,0.4336210388558252
14,up,29,MT-ATP6,60.62741,2.6315851,0.0,0.9735892076762304,0.6721029507992398
14,up,30,MT-ND3,60.51512,2.658147,0.0,0.9678890366711002,0.6270495123547191
14,up,31,MT-CO1,57.61139,2.8449295,0.0,0.998289948698461,0.7133892126008787
14,up,32,TNFRSF18,56.3451,2.1484525,0.0,0.5130153904617138,0.1944099959492724
14,up,33,CAPN12,54.37967,2.194036,0.0,0.3397301919057571,0.104792322313277
14,up,34,MT-ATP8,54.296097,2.3613548,0.0,0.6585597567927037,0.3162839248434238
14,up,35,RPS26,54.243988,2.0909197,0.0,0.965418962568877,0.7117408780731
14,up,36,ENSG00000273149.1,53.585693,2.569799,0.0,0.2188865665969979,0.0515719938927492
14,up,37,CXCR3,49.176563,2.1209836,0.0,0.3076192285768573,0.1021437696693983
14,up,38,ABLIM1,47.972424,1.8751066,0.0,0.4301729051871556,0.1737232418284361
14,up,39,CMC1,47.875023,1.9223709,0.0,0.8343150294508835,0.5304178481288755
14,up,40,C1orf162,47.25124,1.8053019,0.0,0.5766673000190006,0.2698906303555292
14,up,41,SCML1,46.060085,2.7835236,0.0,0.0995629868896066,0.0159879101361667
14,up,42,ITGAX,45.80492,1.7547021,0.0,0.5019950598517956,0.2239491477892375
14,up,43,RAMP1,45.79644,2.0324392,0.0,0.2618278548356451,0.0831022341320537
14,up,44,LEF1,45.67845,2.1168413,0.0,0.2169865095952878,0.0616053344966192
14,up,45,NFKBIA,45.62819,1.7859302,0.0,0.8158844765342961,0.6087121802262175
